data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed,value,num_item_id,num_value,color
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,563,1,white
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,565,1,yellow
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",528,0,green
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",546,0,orange
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51719,19,143,143,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,510,1,black
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,511,1,blue
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,513,1,brown
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,518,1,dark
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,528,1,green
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,546,1,orange
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,550,1,red
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,563,1,white
51720,28,644,644,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,produces,565,1,yellow
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,510,1,black
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,511,1,blue
